title,year,duration,genre,rating,movie_url
L.A. Confidential,1997,2h 18m,"Crime,Drama,Mystery",8.2,https://www.imdb.com/title/tt0119488/
There Will Be Blood,2007,2h 38m,Drama,8.2,https://www.imdb.com/title/tt0469494/
Der Untergang,2004,2h 36m,"Biography,Drama,History",8.2,https://www.imdb.com/title/tt0363163/
The Apartment,1960,2h 5m,"Comedy,Drama,Romance",8.3,https://www.imdb.com/title/tt0053604/
Babam ve Oglum,2005,1h 52m,"Drama,Family",8.2,https://www.imdb.com/title/tt0476735/
Lawrence of Arabia,1962,3h 48m,"Adventure,Biography,Drama",8.3,https://www.imdb.com/title/tt0056172/
The Sting,1973,2h 9m,"Comedy,Crime,Drama",8.3,https://www.imdb.com/title/tt0070735/
Dersu Uzala,1975,2h 22m,"Adventure,Biography,Drama",8.3,https://www.imdb.com/title/tt0071411/
Amadeus,1984,2h 40m,"Biography,Drama,Music",8.3,https://www.imdb.com/title/tt0086879/
Das Boot,1981,2h 29m,"Drama,War",8.3,https://www.imdb.com/title/tt0082096/
Scarface,1983,2h 50m,"Crime,Drama",8.3,https://www.imdb.com/title/tt0086250/
Once Upon a Time in America,1984,3h 49m,"Crime,Drama",8.3,https://www.imdb.com/title/tt0087843/
Idi i smotri,1985,2h 22m,"Drama,Thriller,War",8.3,https://www.imdb.com/title/tt0091251/
Full Metal Jacket,1987,1h 56m,"Drama,War",8.3,https://www.imdb.com/title/tt0093058/
Reservoir Dogs,1992,1h 39m,"Crime,Drama,Thriller",8.3,https://www.imdb.com/title/tt0105236/
Braveheart,1995,2h 58m,"Biography,Drama,History",8.3,https://www.imdb.com/title/tt0112573/
Bacheha-Ye aseman,1997,1h 29m,"Drama,Family,Sport",8.3,https://www.imdb.com/title/tt0118849/
Good Will Hunting,1997,2h 6m,"Drama,Romance",8.3,https://www.imdb.com/title/tt0119217/
American Beauty,1999,2h 2m,Drama,8.3,https://www.imdb.com/title/tt0169547/
Eternal Sunshine of the Spotless Mind,2004,1h 48m,"Drama,Romance,Sci-Fi",8.3,https://www.imdb.com/title/tt0338013/
Requiem for a Dream,2000,1h 42m,Drama,8.3,https://www.imdb.com/title/tt0180093/
The Father,2020,1h 37m,"Drama,Mystery",8.3,https://www.imdb.com/title/tt10272386/
Inglourious Basterds,2009,2h 33m,"Adventure,Drama,War",8.3,https://www.imdb.com/title/tt0361748/
Incendies,2010,2h 11m,"Drama,Mystery,War",8.3,https://www.imdb.com/title/tt1255953/
Jodaeiye Nader az Simin,2011,2h 3m,Drama,8.3,https://www.imdb.com/title/tt1832382/
1917,2019,1h 59m,"Action,Drama,War",8.3,https://www.imdb.com/title/tt8579674/
The Great Dictator,1940,2h 5m,"Comedy,Drama,War",8.4,https://www.imdb.com/title/tt0032553/
Sunset Blvd.,1950,1h 50m,"Drama,Film-Noir",8.4,https://www.imdb.com/title/tt0043014/
Witness for the Prosecution,1957,1h 56m,"Crime,Drama,Mystery",8.4,https://www.imdb.com/title/tt0051201/
Tengoku to jigoku,1963,2h 23m,"Crime,Drama,Mystery",8.4,https://www.imdb.com/title/tt0057565/
Pather Panchali,1955,2h 5m,Drama,8.4,https://www.imdb.com/title/tt0048473/
The Shining,1980,2h 26m,"Drama,Horror",8.4,https://www.imdb.com/title/tt0081505/
Paths of Glory,1957,1h 28m,"Drama,War",8.4,https://www.imdb.com/title/tt0050825/
Jagten,2012,1h 55m,Drama,8.3,https://www.imdb.com/title/tt2106476/
3 Idiots,2009,2h 50m,"Comedy,Drama",8.4,https://www.imdb.com/title/tt1187043/
Das Leben der Anderen,2006,2h 17m,"Drama,Mystery,Thriller",8.4,https://www.imdb.com/title/tt0405094/
Apocalypse Now,1979,2h 27m,"Drama,Mystery,War",8.4,https://www.imdb.com/title/tt0078788/
Cidade de Deus,2002,2h 10m,"Crime,Drama",8.6,https://www.imdb.com/title/tt0317248/
Oldeuboi,2003,2h,"Action,Drama,Mystery",8.4,https://www.imdb.com/title/tt0364569/
Interstellar,2014,2h 49m,"Adventure,Drama,Sci-Fi",8.6,https://www.imdb.com/title/tt0816692/
The Dark Knight Rises,2012,2h 44m,"Action,Crime,Drama",8.4,https://www.imdb.com/title/tt1345836/
Forrest Gump,1994,2h 22m,"Drama,Romance",8.8,https://www.imdb.com/title/tt0109830/
Gisaengchung,2019,2h 12m,"Comedy,Drama,Thriller",8.6,https://www.imdb.com/title/tt6751668/
Goodfellas,1990,2h 26m,"Biography,Crime,Drama",8.7,https://www.imdb.com/title/tt0099685/
Drishyam 2,2021,2h 32m,"Crime,Drama,Thriller",8.6,https://www.imdb.com/title/tt12361178/
The Lord of the Rings: The Two Towers,2002,2h 59m,"Action,Adventure,Drama",8.7,https://www.imdb.com/title/tt0167261/
Taare Zameen Par,2007,2h 45m,"Drama,Family",8.4,https://www.imdb.com/title/tt0986264/
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"Action,Adventure,Drama",8.8,https://www.imdb.com/title/tt0120737/
The Lord of the Rings: The Return of the King,2003,3h 21m,"Action,Adventure,Drama",8.9,https://www.imdb.com/title/tt0167260/
Fight Club,1999,2h 19m,Drama,8.8,https://www.imdb.com/title/tt0137523/
Schindler's List,1993,3h 15m,"Biography,Drama,History",8.9,https://www.imdb.com/title/tt0108052/
Pulp Fiction,1994,2h 34m,"Crime,Drama",8.9,https://www.imdb.com/title/tt0110912/
12 Angry Men,1957,1h 36m,"Crime,Drama",9.0,https://www.imdb.com/title/tt0050083/
One Flew Over the Cuckoo's Nest,1975,2h 13m,Drama,8.7,https://www.imdb.com/title/tt0073486/
The Godfather: Part II,1974,3h 22m,"Crime,Drama",9.0,https://www.imdb.com/title/tt0071562/
The Dark Knight,2008,2h 32m,"Action,Crime,Drama",9.0,https://www.imdb.com/title/tt0468569/
The Shawshank Redemption,1994,2h 22m,Drama,9.3,https://www.imdb.com/title/tt0111161/
The Godfather,1972,2h 55m,"Crime,Drama",9.2,https://www.imdb.com/title/tt0068646/
